"","year","ccode","intlwar"
"917",1999,530,1
"918",2000,530,1
"919",2001,530,1
"920",2002,530,1
"921",2003,530,1
"922",2004,530,1
"923",2005,530,1
"924",2006,530,1
"925",2007,530,1
"926",2008,530,1
"927",2009,530,1
"928",2010,530,1
"929",2011,530,1
"930",2012,530,1
"931",2013,530,1
"932",2014,530,1
"933",2015,530,1
"934",2016,530,1
"967",1961,220,1
"981",1962,850,1
"982",1963,615,1
"984",1963,850,1
"985",1964,850,1
"986",1965,850,1
"987",1966,850,1
"988",1967,850,1
"989",1968,850,1
"990",1969,850,1
"991",1970,850,1
"992",1971,850,1
"993",1972,850,1
"994",1973,850,1
"995",1974,850,1
"996",1975,850,1
"997",1976,850,1
"998",1977,850,1
"999",1978,850,1
"1000",1979,850,1
"1001",1980,850,1
"1002",1981,850,1
"1003",1982,850,1
"1004",1983,850,1
"1005",1984,850,1
"1006",1985,850,1
"1007",1986,850,1
"1008",1987,850,1
"1009",1988,850,1
"1010",1989,850,1
"1011",1990,850,1
"1012",1991,850,1
"1013",1992,850,1
"1014",1993,850,1
"1015",1994,850,1
"1016",1995,850,1
"1017",1996,850,1
"1018",1997,850,1
"1019",1998,850,1
"1020",1999,850,1
"1021",2000,850,1
"1022",2001,850,1
"1023",2002,850,1
"1024",2003,850,1
"1025",2004,850,1
"1026",2005,850,1
"1027",2006,850,1
"1028",2007,850,1
"1029",2008,850,1
"1030",2009,850,1
"1031",2010,850,1
"1032",2011,850,1
"1033",2012,850,1
"1034",2013,850,1
"1035",2014,850,1
"1036",2015,850,1
"1037",2016,850,1
"1043",1965,817,1
"1044",1966,817,1
"1045",1967,817,1
"1046",1968,817,1
"1047",1969,817,1
"1048",1970,817,1
"1049",1971,817,1
"1050",1972,817,1
"1051",1973,817,1
"1052",1974,817,1
"1053",1975,817,1
"1054",1976,817,1
"1055",1977,817,1
"1056",1978,817,1
"1057",1979,817,1
"1058",1980,817,1
"1059",1981,817,1
"1060",1982,817,1
"1061",1983,817,1
"1062",1984,817,1
"1063",1985,817,1
"1064",1986,817,1
"1065",1987,817,1
"1066",1988,817,1
"1067",1989,817,1
"1068",1990,817,1
"1069",1991,817,1
"1070",1992,817,1
"1071",1993,817,1
"1072",1994,817,1
"1073",1995,817,1
"1074",1996,817,1
"1075",1997,817,1
"1076",1998,817,1
"1077",1999,817,1
"1078",2000,817,1
"1079",2001,817,1
"1080",2002,817,1
"1081",2003,817,1
"1082",2004,817,1
"1083",2005,817,1
"1084",2006,817,1
"1085",2007,817,1
"1086",2008,817,1
"1087",2009,817,1
"1088",2010,817,1
"1089",2011,817,1
"1090",2012,817,1
"1091",2013,817,1
"1092",2014,817,1
"1093",2015,817,1
"1094",2016,817,1
"1106",1975,811,1
"1107",1976,811,1
"1108",1977,811,1
"1109",1978,811,1
"1110",1979,811,1
"1111",1980,811,1
"1112",1981,811,1
