"","year","ccode","civilwar"
"1",1946,145,1
"3",1947,145,1
"4",1948,145,1
"5",1949,145,1
"6",1950,145,1
"7",1951,145,1
"8",1952,145,1
"16",1953,145,1
"17",1954,145,1
"18",1955,145,1
"19",1956,145,1
"20",1957,145,1
"21",1958,145,1
"22",1959,145,1
"23",1960,145,1
"24",1961,145,1
"25",1962,145,1
"26",1963,145,1
"27",1964,145,1
"28",1965,145,1
"29",1966,145,1
"30",1967,145,1
"31",1946,710,1
"32",1947,710,1
"33",1948,710,1
"34",1949,710,1
"35",1950,710,1
"36",1951,710,1
"37",1952,710,1
"38",1953,710,1
"39",1954,710,1
"40",1955,710,1
"41",1956,710,1
"42",1957,710,1
"43",1958,710,1
"44",1959,710,1
"45",1960,710,1
"46",1961,710,1
"47",1962,710,1
"48",1963,710,1
"49",1964,710,1
"50",1965,710,1
"51",1966,710,1
"52",1967,710,1
"53",1968,710,1
"54",1969,710,1
"55",1970,710,1
"56",1971,710,1
"57",1972,710,1
"58",1973,710,1
"59",1974,710,1
"60",1975,710,1
"61",1976,710,1
"62",1977,710,1
"63",1978,710,1
"64",1979,710,1
"65",1980,710,1
"66",1981,710,1
"67",1982,710,1
"68",1983,710,1
"69",1984,710,1
"70",1985,710,1
"71",1986,710,1
"72",1987,710,1
"73",1988,710,1
"74",1989,710,1
"75",1990,710,1
"76",1991,710,1
"77",1992,710,1
"78",1993,710,1
"79",1994,710,1
"80",1995,710,1
"81",1996,710,1
"82",1997,710,1
"83",1998,710,1
"84",1999,710,1
"85",2000,710,1
"86",2001,710,1
"87",2002,710,1
"88",2003,710,1
"89",2004,710,1
"90",2005,710,1
"91",2006,710,1
"92",2007,710,1
"93",2008,710,1
"94",2009,710,1
"95",2010,710,1
"96",2011,710,1
"97",2012,710,1
"98",2013,710,1
"99",2014,710,1
"100",2015,710,1
"101",2016,710,1
"106",1946,350,1
"107",1947,350,1
"108",1948,350,1
"109",1949,350,1
"110",1950,350,1
"111",1951,350,1
"112",1952,350,1
"113",1953,350,1
"114",1954,350,1
"115",1955,350,1
"116",1956,350,1
"117",1957,350,1
"118",1958,350,1
"119",1959,350,1
"120",1960,350,1
"121",1961,350,1
"122",1962,350,1
"123",1963,350,1
"124",1964,350,1
"125",1965,350,1
"126",1966,350,1
"127",1967,350,1
"128",1968,350,1
"129",1969,350,1
"130",1970,350,1
"131",1971,350,1
"132",1972,350,1
"133",1973,350,1
"134",1974,350,1
"135",1975,350,1
"136",1976,350,1
"137",1977,350,1
"138",1978,350,1
"139",1979,350,1
"140",1980,350,1
"141",1981,350,1
"142",1982,350,1
"143",1983,350,1
"144",1984,350,1
"145",1985,350,1
"146",1986,350,1
"147",1987,350,1
"148",1988,350,1
"149",1989,350,1
"150",1990,350,1
"151",1991,350,1
"152",1992,350,1
"153",1993,350,1
"154",1994,350,1
"155",1995,350,1
"156",1996,350,1
"157",1997,350,1
"158",1998,350,1
"159",1999,350,1
"160",2000,350,1
"161",2001,350,1
"162",2002,350,1
"163",2003,350,1
"164",2004,350,1
"165",2005,350,1
"166",2006,350,1
"167",2007,350,1
"168",2008,350,1
"169",2009,350,1
"170",2010,350,1
"171",2011,350,1
"172",2012,350,1
"173",2013,350,1
"174",2014,350,1
"175",2015,350,1
"176",2016,350,1
"181",1946,630,1
"183",1947,630,1
"184",1948,630,1
"185",1949,630,1
"186",1950,630,1
"187",1951,630,1
"188",1952,630,1
"189",1953,630,1
"190",1954,630,1
"191",1955,630,1
"192",1956,630,1
"193",1957,630,1
"194",1958,630,1
"195",1959,630,1
"196",1960,630,1
"197",1961,630,1
"198",1962,630,1
"199",1963,630,1
"200",1964,630,1
"201",1965,630,1
"202",1966,630,1
"203",1967,630,1
"204",1968,630,1
"205",1969,630,1
"206",1970,630,1
"207",1971,630,1
"208",1972,630,1
"209",1973,630,1
"210",1974,630,1
"211",1975,630,1
"212",1976,630,1
"213",1977,630,1
"214",1978,630,1
"215",1979,630,1
"216",1980,630,1
"217",1981,630,1
"218",1982,630,1
"219",1983,630,1
"220",1984,630,1
"221",1985,630,1
"222",1986,630,1
"223",1987,630,1
"224",1988,630,1
"225",1989,630,1
"226",1990,630,1
"227",1991,630,1
"228",1992,630,1
"229",1993,630,1
"230",1994,630,1
"231",1995,630,1
"232",1996,630,1
"233",1997,630,1
"234",1998,630,1
"235",1999,630,1
"236",2000,630,1
"237",2001,630,1
"238",2002,630,1
"239",2003,630,1
"240",2004,630,1
"241",2005,630,1
"242",2006,630,1
"243",2007,630,1
"244",2008,630,1
"245",2009,630,1
"246",2010,630,1
"247",2011,630,1
"248",2012,630,1
"249",2013,630,1
"250",2014,630,1
"251",2015,630,1
"252",2016,630,1
"463",1945,630,1
"465",1946,840,1
"466",1947,840,1
"467",1948,840,1
"468",1949,840,1
"469",1950,840,1
"470",1951,840,1
"471",1952,840,1
"472",1953,840,1
"473",1954,840,1
"474",1955,840,1
"475",1956,840,1
"476",1957,840,1
"477",1958,840,1
"478",1959,840,1
"479",1960,840,1
"480",1961,840,1
"481",1962,840,1
"482",1963,840,1
"483",1964,840,1
"484",1965,840,1
"485",1966,840,1
"486",1967,840,1
"487",1968,840,1
"488",1969,840,1
"489",1970,840,1
"490",1971,840,1
"491",1972,840,1
"492",1973,840,1
"493",1974,840,1
"494",1975,840,1
"495",1976,840,1
"496",1977,840,1
"497",1978,840,1
"498",1979,840,1
"499",1980,840,1
"500",1981,840,1
"501",1982,840,1
"502",1983,840,1
"503",1984,840,1
"504",1985,840,1
"505",1986,840,1
"506",1987,840,1
"507",1988,840,1
"508",1989,840,1
"509",1990,840,1
"510",1991,840,1
"511",1992,840,1
"512",1993,840,1
"513",1994,840,1
"514",1995,840,1
"515",1996,840,1
"516",1997,840,1
"517",1998,840,1
"518",1999,840,1
"519",2000,840,1
"520",2001,840,1
"521",2002,840,1
"522",2003,840,1
"523",2004,840,1
"524",2005,840,1
"525",2006,840,1
"526",2007,840,1
"527",2008,840,1
"528",2009,840,1
"529",2010,840,1
"530",2011,840,1
"531",2012,840,1
"532",2013,840,1
"533",2014,840,1
"534",2015,840,1
"535",2016,840,1
"647",1944,365,1
"648",1945,365,1
"649",1946,365,1
"650",1947,365,1
"651",1948,365,1
"652",1949,365,1
"653",1950,365,1
"654",1951,365,1
"655",1952,365,1
"656",1953,365,1
"657",1954,365,1
"658",1955,365,1
"659",1956,365,1
"660",1957,365,1
"661",1958,365,1
"662",1959,365,1
"663",1960,365,1
"664",1961,365,1
"665",1962,365,1
"666",1963,365,1
"667",1964,365,1
"668",1965,365,1
"669",1966,365,1
"670",1967,365,1
"671",1968,365,1
"672",1969,365,1
"673",1970,365,1
"674",1971,365,1
"675",1972,365,1
"676",1973,365,1
"677",1974,365,1
"678",1975,365,1
"679",1976,365,1
"680",1977,365,1
"681",1978,365,1
"682",1979,365,1
"683",1980,365,1
"684",1981,365,1
"685",1982,365,1
"686",1983,365,1
"687",1984,365,1
"688",1985,365,1
"689",1986,365,1
"690",1987,365,1
"691",1988,365,1
"692",1989,365,1
"693",1990,365,1
"694",1991,365,1
"695",1992,365,1
"696",1993,365,1
"697",1994,365,1
"698",1995,365,1
"699",1996,365,1
"700",1997,365,1
"701",1998,365,1
"702",1999,365,1
"703",2000,365,1
"704",2001,365,1
"705",2002,365,1
"706",2003,365,1
"707",2004,365,1
"708",2005,365,1
"709",2006,365,1
"710",2007,365,1
"711",2008,365,1
"712",2009,365,1
"713",2010,365,1
"714",2011,365,1
"715",2012,365,1
"716",2013,365,1
"717",2014,365,1
"718",2015,365,1
"719",2016,365,1
"801",1941,365,1
"802",1942,365,1
"803",1943,365,1
"888",1947,150,1
"890",1948,150,1
"891",1949,150,1
"892",1950,150,1
"893",1951,150,1
"894",1952,150,1
"895",1953,150,1
"896",1954,150,1
"905",1955,150,1
"906",1956,150,1
"907",1957,150,1
"908",1958,150,1
"909",1959,150,1
"910",1960,150,1
"911",1961,150,1
"912",1962,150,1
"913",1963,150,1
"914",1964,150,1
"915",1965,150,1
"916",1966,150,1
"917",1967,150,1
"918",1968,150,1
"919",1969,150,1
"920",1970,150,1
"921",1971,150,1
"922",1972,150,1
"923",1973,150,1
"924",1974,150,1
"925",1975,150,1
"926",1976,150,1
"927",1977,150,1
"928",1978,150,1
"929",1979,150,1
"930",1980,150,1
"931",1981,150,1
"932",1982,150,1
"933",1983,150,1
"934",1984,150,1
"935",1985,150,1
"936",1986,150,1
"937",1987,150,1
"938",1988,150,1
"939",1989,150,1
"940",1948,775,1
"941",1949,775,1
"942",1950,775,1
"943",1951,775,1
"944",1952,775,1
"945",1953,775,1
"946",1954,775,1
"947",1955,775,1
"948",1956,775,1
"949",1957,775,1
"950",1958,775,1
"951",1959,775,1
"952",1960,775,1
"953",1961,775,1
"954",1962,775,1
"955",1963,775,1
"956",1964,775,1
"957",1965,775,1
"958",1966,775,1
"959",1967,775,1
"960",1968,775,1
"961",1969,775,1
"962",1970,775,1
"963",1971,775,1
"964",1972,775,1
"965",1973,775,1
"966",1974,775,1
"967",1975,775,1
"968",1976,775,1
"969",1977,775,1
"970",1978,775,1
"971",1979,775,1
"972",1980,775,1
"973",1981,775,1
"974",1982,775,1
"975",1983,775,1
"976",1984,775,1
"977",1985,775,1
"978",1986,775,1
"979",1987,775,1
"980",1988,775,1
"981",1989,775,1
"982",1990,775,1
"983",1991,775,1
"984",1992,775,1
"985",1993,775,1
"986",1994,775,1
"987",1995,775,1
"988",1996,775,1
"989",1997,775,1
"990",1998,775,1
"991",1999,775,1
"992",2000,775,1
"993",2001,775,1
"994",2002,775,1
"995",2003,775,1
"996",2004,775,1
"997",2005,775,1
"998",2006,775,1
"999",2007,775,1
"1000",2008,775,1
"1001",2009,775,1
"1002",2010,775,1
"1003",2011,775,1
"1004",2012,775,1
"1005",2013,775,1
"1006",2014,775,1
"1007",2015,775,1
"1008",2016,775,1
"1568",1948,94,1
"1569",1948,750,1
"1570",1949,750,1
"1571",1950,750,1
"1572",1951,750,1
"1573",1952,750,1
"1574",1953,750,1
"1575",1954,750,1
"1576",1955,750,1
"1577",1956,750,1
"1578",1957,750,1
"1579",1958,750,1
"1580",1959,750,1
"1581",1960,750,1
"1582",1961,750,1
"1583",1962,750,1
"1584",1963,750,1
"1585",1964,750,1
"1586",1965,750,1
"1587",1966,750,1
"1588",1967,750,1
"1589",1968,750,1
"1590",1969,750,1
"1591",1970,750,1
"1592",1971,750,1
"1593",1972,750,1
"1594",1973,750,1
"1595",1974,750,1
"1596",1975,750,1
"1597",1976,750,1
"1598",1977,750,1
"1599",1978,750,1
"1600",1979,750,1
"1601",1980,750,1
"1602",1981,750,1
"1603",1982,750,1
"1604",1983,750,1
"1605",1984,750,1
"1606",1985,750,1
"1607",1986,750,1
"1608",1987,750,1
"1609",1988,750,1
"1610",1989,750,1
"1611",1990,750,1
"1612",1991,750,1
"1613",1992,750,1
"1614",1993,750,1
"1615",1994,750,1
"1616",1995,750,1
"1617",1996,750,1
"1618",1997,750,1
"1619",1998,750,1
"1620",1999,750,1
"1621",2000,750,1
"1622",2001,750,1
"1623",2002,750,1
"1624",2003,750,1
"1625",2004,750,1
"1626",2005,750,1
"1627",2006,750,1
"1628",2007,750,1
"1629",2008,750,1
"1630",2009,750,1
"1631",2010,750,1
"1632",2011,750,1
"1633",2012,750,1
"1634",2013,750,1
"1635",2014,750,1
"1636",2015,750,1
"1637",2016,750,1
"1713",1948,678,1
"1715",1949,678,1
"1716",1950,678,1
"1717",1951,678,1
"1718",1952,678,1
"1719",1953,678,1
"1720",1954,678,1
"1721",1955,678,1
"1722",1956,678,1
"1723",1957,678,1
"1724",1958,678,1
"1725",1959,678,1
"1726",1960,678,1
"1727",1961,678,1
"1728",1962,678,1
"1729",1963,678,1
"1730",1964,678,1
"1731",1965,678,1
"1732",1966,678,1
"1733",1967,678,1
"1734",1968,678,1
"1735",1969,678,1
"1736",1970,678,1
"1737",1971,678,1
"1738",1972,678,1
"1739",1973,678,1
"1740",1974,678,1
"1741",1975,678,1
"1742",1976,678,1
"1743",1977,678,1
"1744",1978,678,1
"1745",1979,678,1
"1746",1980,678,1
"1747",1981,678,1
"1748",1982,678,1
"1749",1983,678,1
"1750",1984,678,1
"1751",1985,678,1
"1752",1986,678,1
"1753",1987,678,1
"1754",1988,678,1
"1755",1989,678,1
"1756",1990,678,1
"1757",1991,678,1
"1758",1992,678,1
"1759",1993,678,1
"1760",1994,678,1
"1761",1995,678,1
"1762",1996,678,1
"1763",1997,678,1
"1764",1998,678,1
"1765",1999,678,1
"1766",2000,678,1
"1767",2001,678,1
"1768",2002,678,1
"1769",2003,678,1
"1770",2004,678,1
"1771",2005,678,1
"1772",2006,678,1
"1773",2007,678,1
"1774",2008,678,1
"1775",2009,678,1
"1776",2010,678,1
"1777",2011,678,1
"1778",2012,678,1
"1779",2013,678,1
"1780",2014,678,1
"1781",2015,678,1
"1782",2016,678,1
"2024",1949,90,1
"2026",1950,90,1
"2027",1951,90,1
"2028",1952,90,1
"2029",1953,90,1
"2030",1954,90,1
"2037",1955,90,1
"2038",1956,90,1
"2039",1957,90,1
"2040",1958,90,1
"2041",1959,90,1
"2042",1960,90,1
"2043",1961,90,1
"2044",1962,90,1
"2045",1963,90,1
"2061",1964,90,1
"2062",1965,90,1
"2063",1966,90,1
"2064",1967,90,1
"2065",1968,90,1
"2066",1969,90,1
"2067",1970,90,1
"2068",1971,90,1
"2069",1972,90,1
"2070",1973,90,1
"2071",1974,90,1
"2072",1975,90,1
"2073",1976,90,1
"2074",1977,90,1
"2075",1978,90,1
"2076",1979,90,1
"2077",1980,90,1
"2078",1981,90,1
"2079",1982,90,1
"2080",1983,90,1
"2081",1984,90,1
"2082",1985,90,1
"2083",1986,90,1
"2084",1987,90,1
"2085",1988,90,1
"2086",1989,90,1
"2087",1990,90,1
"2088",1991,90,1
"2089",1992,90,1
"2090",1993,90,1
"2091",1994,90,1
"2092",1995,90,1
"2093",1996,90,1
"2094",1997,90,1
"2095",1998,90,1
"2096",1999,90,1
"2097",2000,90,1
"2098",2001,90,1
"2099",2002,90,1
"2100",2003,90,1
"2101",2004,90,1
"2102",2005,90,1
"2103",2006,90,1
"2104",2007,90,1
"2105",2008,90,1
"2106",2009,90,1
"2107",2010,90,1
"2108",2011,90,1
"2109",2012,90,1
"2110",2013,90,1
"2111",2014,90,1
"2112",2015,90,1
"2113",2016,90,1
"2161",1948,666,1
"2162",1949,666,1
"2163",1950,666,1
"2164",1951,666,1
"2165",1952,666,1
"2166",1953,666,1
"2167",1954,666,1
"2168",1955,666,1
"2169",1956,666,1
"2170",1957,666,1
"2171",1958,666,1
"2172",1959,666,1
"2173",1960,666,1
"2174",1961,666,1
"2175",1962,666,1
"2176",1963,666,1
"2177",1964,666,1
"2178",1965,666,1
"2179",1966,666,1
"2180",1967,666,1
"2181",1968,666,1
"2182",1969,666,1
"2183",1970,666,1
"2184",1971,666,1
"2185",1972,666,1
"2186",1973,666,1
"2187",1974,666,1
"2188",1975,666,1
"2189",1976,666,1
"2190",1977,666,1
"2191",1978,666,1
"2192",1979,666,1
"2193",1980,666,1
"2194",1981,666,1
"2195",1982,666,1
"2196",1983,666,1
"2197",1984,666,1
"2198",1985,666,1
"2199",1986,666,1
"2200",1987,666,1
"2201",1988,666,1
"2202",1989,666,1
"2203",1990,666,1
"2204",1991,666,1
"2205",1992,666,1
"2206",1993,666,1
"2207",1994,666,1
"2208",1995,666,1
"2209",1996,666,1
"2210",1997,666,1
"2211",1998,666,1
"2212",1999,666,1
"2213",2000,666,1
"2214",2001,666,1
"2215",2002,666,1
"2216",2003,666,1
"2217",2004,666,1
"2218",2005,666,1
"2219",2006,666,1
"2220",2007,666,1
"2221",2008,666,1
"2222",2009,666,1
"2223",2010,666,1
"2224",2011,666,1
"2225",2012,666,1
"2226",2013,666,1
"2227",2014,666,1
"2228",2015,666,1
"2229",2016,666,1
"2498",1950,850,1
"2499",1951,800,1
"2501",1952,800,1
"2502",1953,800,1
"2503",1954,800,1
"2504",1955,800,1
"2505",1956,800,1
"2506",1957,800,1
"2507",1958,800,1
"2508",1959,800,1
"2509",1960,800,1
"2510",1961,800,1
"2511",1962,800,1
"2512",1963,800,1
"2513",1964,800,1
"2514",1965,800,1
"2515",1966,800,1
"2516",1967,800,1
"2517",1968,800,1
"2518",1969,800,1
"2519",1970,800,1
"2520",1971,800,1
"2521",1972,800,1
"2522",1973,800,1
"2523",1974,800,1
"2524",1975,800,1
"2525",1976,800,1
"2526",1977,800,1
"2527",1978,800,1
"2528",1979,800,1
"2529",1980,800,1
"2530",1981,800,1
"2531",1982,800,1
"2532",1983,800,1
"2533",1984,800,1
"2534",1985,800,1
"2535",1986,800,1
"2536",1987,800,1
"2537",1988,800,1
"2538",1989,800,1
"2539",1990,800,1
"2540",1991,800,1
"2541",1992,800,1
"2542",1993,800,1
"2543",1994,800,1
"2544",1995,800,1
"2545",1996,800,1
"2546",1997,800,1
"2547",1998,800,1
"2548",1999,800,1
"2549",2000,800,1
"2550",2001,800,1
"2551",2002,800,1
"2552",2003,800,1
"2553",2004,800,1
"2554",2005,800,1
"2555",2006,800,1
"2556",2007,800,1
"2557",2008,800,1
"2558",2009,800,1
"2559",2010,800,1
"2560",2011,800,1
"2561",2012,800,1
"2562",2013,800,1
"2563",2014,800,1
"2564",2015,800,1
"2565",2016,800,1
"2598",1953,40,1
"2600",1954,40,1
"2601",1955,40,1
"2602",1956,40,1
"2603",1957,40,1
"2604",1958,40,1
"2605",1959,40,1
"2606",1960,40,1
"2607",1961,40,1
"2608",1962,40,1
"2609",1963,40,1
"2610",1964,40,1
"2611",1965,40,1
"2612",1966,40,1
"2613",1967,40,1
"2614",1968,40,1
"2615",1969,40,1
"2616",1970,40,1
"2617",1971,40,1
"2618",1972,40,1
"2619",1973,40,1
"2620",1974,40,1
"2621",1975,40,1
"2622",1976,40,1
"2623",1977,40,1
"2624",1978,40,1
"2625",1979,40,1
"2626",1980,40,1
"2627",1981,40,1
"2628",1982,40,1
"2629",1983,40,1
"2630",1984,40,1
"2631",1985,40,1
"2632",1986,40,1
"2633",1987,40,1
"2634",1988,40,1
"2635",1989,40,1
"2636",1990,40,1
"2637",1991,40,1
"2638",1992,40,1
"2639",1993,40,1
"2640",1994,40,1
"2641",1995,40,1
"2642",1996,40,1
"2643",1997,40,1
"2644",1998,40,1
"2645",1999,40,1
"2646",2000,40,1
"2647",2001,40,1
"2648",2002,40,1
"2649",2003,40,1
"2650",2004,40,1
"2651",2005,40,1
"2652",2006,40,1
"2653",2007,40,1
"2654",2008,40,1
"2655",2009,40,1
"2656",2010,40,1
"2657",2011,40,1
"2658",2012,40,1
"2659",2013,40,1
"2660",2014,40,1
"2661",2015,40,1
"2662",2016,40,1
"2678",1953,850,1
"2680",1954,850,1
"2681",1955,850,1
"2682",1956,850,1
"2683",1957,850,1
"2684",1958,850,1
"2685",1959,850,1
"2686",1960,850,1
"2687",1961,850,1
"2688",1962,850,1
"2689",1963,850,1
"2690",1964,850,1
"2691",1965,850,1
"2692",1966,850,1
"2693",1967,850,1
"2694",1968,850,1
"2695",1969,850,1
"2696",1970,850,1
"2697",1971,850,1
"2698",1972,850,1
"2699",1973,850,1
"2700",1974,850,1
"2701",1975,850,1
"2702",1976,850,1
"2703",1977,850,1
"2704",1978,850,1
"2705",1979,850,1
"2706",1980,850,1
"2707",1981,850,1
"2708",1982,850,1
"2709",1983,850,1
"2710",1984,850,1
"2711",1985,850,1
"2712",1986,850,1
"2713",1987,850,1
"2714",1988,850,1
"2715",1989,850,1
"2716",1990,850,1
"2717",1991,850,1
"2718",1992,850,1
"2719",1993,850,1
"2720",1994,850,1
"2721",1995,850,1
"2722",1996,850,1
"2723",1997,850,1
"2724",1998,850,1
"2725",1999,850,1
"2726",2000,850,1
"2727",2001,850,1
"2728",2002,850,1
"2729",2003,850,1
"2730",2004,850,1
"2731",2005,850,1
"2732",2006,850,1
"2733",2007,850,1
"2734",2008,850,1
"2735",2009,850,1
"2736",2010,850,1
"2737",2011,850,1
"2738",2012,850,1
"2739",2013,850,1
"2740",2014,850,1
"2741",2015,850,1
"2742",2016,850,1
"2752",1955,160,1
"2754",1956,160,1
"2755",1957,160,1
"2756",1958,160,1
"2757",1959,160,1
"2758",1960,160,1
"2759",1961,160,1
"2760",1962,160,1
"2761",1963,160,1
"2771",1964,160,1
"2772",1965,160,1
"2773",1966,160,1
"2774",1967,160,1
"2775",1968,160,1
"2776",1969,160,1
"2777",1970,160,1
"2778",1971,160,1
"2779",1972,160,1
"2780",1973,160,1
"2781",1974,160,1
"2782",1975,160,1
"2783",1976,160,1
"2784",1977,160,1
"2785",1978,160,1
"2786",1979,160,1
"2787",1980,160,1
"2788",1981,160,1
"2789",1982,160,1
"2790",1983,160,1
"2791",1984,160,1
"2792",1985,160,1
"2793",1986,160,1
"2794",1987,160,1
"2795",1988,160,1
"2796",1989,160,1
"2797",1990,160,1
"2798",1991,160,1
"2799",1992,160,1
"2800",1993,160,1
"2801",1994,160,1
"2802",1995,160,1
"2803",1996,160,1
"2804",1997,160,1
"2805",1998,160,1
"2806",1999,160,1
"2807",2000,160,1
"2808",2001,160,1
"2809",2002,160,1
"2810",2003,160,1
"2811",2004,160,1
"2812",2005,160,1
"2813",2006,160,1
"2814",2007,160,1
"2815",2008,160,1
"2816",2009,160,1
"2817",2010,160,1
"2818",2011,160,1
"2819",2012,160,1
"2820",2013,160,1
"2821",2014,160,1
"2822",2015,160,1
"2823",2016,160,1
"2847",1955,817,1
"2848",1956,817,1
"2849",1957,817,1
"2850",1958,817,1
"2851",1959,817,1
"2852",1960,817,1
"2853",1961,817,1
"2854",1962,817,1
"2855",1963,817,1
"2856",1964,817,1
"2857",1965,817,1
"2858",1966,817,1
"2859",1967,817,1
"2860",1968,817,1
"2861",1969,817,1
"2862",1970,817,1
"2863",1971,817,1
"2864",1972,817,1
"2865",1973,817,1
"2866",1974,817,1
"2867",1975,817,1
"2868",1976,817,1
"2869",1977,817,1
"2870",1978,817,1
"2871",1979,817,1
"2872",1980,817,1
"2873",1981,817,1
"2874",1982,817,1
"2875",1983,817,1
"2876",1984,817,1
"2877",1985,817,1
"2878",1986,817,1
"2879",1987,817,1
"2880",1988,817,1
"2881",1989,817,1
"2882",1990,817,1
"2883",1991,817,1
"2884",1992,817,1
"2885",1993,817,1
"2886",1994,817,1
"2887",1995,817,1
"2888",1996,817,1
"2889",1997,817,1
"2890",1998,817,1
"2891",1999,817,1
"2892",2000,817,1
"2893",2001,817,1
"2894",2002,817,1
"2895",2003,817,1
"2896",2004,817,1
"2897",2005,817,1
"2898",2006,817,1
"2899",2007,817,1
"2900",2008,817,1
"2901",2009,817,1
"2902",2010,817,1
"2903",2011,817,1
"2904",2012,817,1
"2905",2013,817,1
"2906",2014,817,1
"2907",2015,817,1
"2908",2016,817,1
"3308",1957,698,1
"3309",1958,645,1
"3310",1959,645,1
"3311",1960,645,1
"3312",1961,645,1
"3313",1962,645,1
"3314",1963,645,1
"3315",1964,645,1
"3316",1965,645,1
"3317",1966,645,1
"3318",1967,645,1
"3319",1968,645,1
"3320",1969,645,1
"3321",1970,645,1
"3322",1971,645,1
"3323",1972,645,1
"3324",1973,645,1
"3325",1974,645,1
"3326",1975,645,1
"3327",1976,645,1
"3328",1977,645,1
"3329",1978,645,1
"3330",1979,645,1
"3331",1980,645,1
"3332",1981,645,1
"3333",1982,645,1
"3334",1983,645,1
"3335",1984,645,1
"3336",1985,645,1
"3337",1986,645,1
"3338",1987,645,1
"3339",1988,645,1
"3340",1989,645,1
"3341",1990,645,1
"3342",1991,645,1
"3343",1992,645,1
"3344",1993,645,1
"3345",1994,645,1
"3346",1995,645,1
"3347",1996,645,1
"3348",1997,645,1
"3349",1998,645,1
"3350",1999,645,1
"3351",2000,645,1
"3352",2001,645,1
"3353",2002,645,1
"3354",2003,645,1
"3355",2004,645,1
"3356",2005,645,1
"3357",2006,645,1
"3358",2007,645,1
"3359",2008,645,1
"3360",2009,645,1
"3361",2010,645,1
"3362",2011,645,1
"3363",2012,645,1
"3364",2013,645,1
"3365",2014,645,1
"3366",2015,645,1
"3367",2016,645,1
"3531",1958,660,1
"3533",1959,660,1
"3534",1960,660,1
"3535",1961,660,1
"3536",1962,660,1
"3537",1963,660,1
"3538",1964,660,1
"3539",1965,660,1
"3540",1966,660,1
"3541",1967,660,1
"3542",1968,660,1
"3543",1969,660,1
"3544",1970,660,1
"3545",1971,660,1
"3546",1972,660,1
"3547",1973,660,1
"3548",1974,660,1
"3549",1975,660,1
"3550",1976,660,1
"3551",1977,660,1
"3552",1978,660,1
"3553",1979,660,1
"3554",1980,660,1
"3555",1981,660,1
"3556",1982,660,1
"3557",1983,660,1
"3558",1984,660,1
"3559",1985,660,1
"3560",1986,660,1
"3561",1987,660,1
"3562",1988,660,1
"3563",1989,660,1
"3564",1990,660,1
"3565",1991,660,1
"3566",1992,660,1
"3567",1993,660,1
"3568",1994,660,1
"3569",1995,660,1
"3570",1996,660,1
"3571",1997,660,1
"3572",1998,660,1
"3573",1999,660,1
"3574",2000,660,1
"3575",2001,660,1
"3576",2002,660,1
"3577",2003,660,1
"3578",2004,660,1
"3579",2005,660,1
"3580",2006,660,1
"3581",2007,660,1
"3582",2008,660,1
"3583",2009,660,1
"3584",2010,660,1
"3585",2011,660,1
"3586",2012,660,1
"3587",2013,660,1
"3588",2014,660,1
"3589",2015,660,1
"3590",2016,660,1
"3731",1957,820,1
"3732",1958,820,1
"3733",1959,820,1
"3734",1960,820,1
"3735",1961,820,1
"3736",1962,820,1
"3737",1963,820,1
"3738",1964,820,1
"3739",1965,820,1
"3740",1966,820,1
"3741",1967,820,1
"3742",1968,820,1
"3743",1969,820,1
"3744",1970,820,1
"3745",1971,820,1
"3746",1972,820,1
"3747",1973,820,1
"3748",1974,820,1
"3749",1975,820,1
"3750",1976,820,1
"3751",1977,820,1
"3752",1978,820,1
"3753",1979,820,1
"3754",1980,820,1
"3755",1981,820,1
"3756",1982,820,1
"3757",1983,820,1
"3758",1984,820,1
"3759",1985,820,1
"3760",1986,820,1
"3761",1987,820,1
"3762",1988,820,1
"3763",1989,820,1
"3764",1990,820,1
"3765",1991,820,1
"3766",1992,820,1
"3767",1993,820,1
"3768",1994,820,1
"3769",1995,820,1
"3770",1996,820,1
"3771",1997,820,1
"3772",1998,820,1
"3773",1999,820,1
"3774",2000,820,1
"3775",2001,820,1
"3776",2002,820,1
"3777",2003,820,1
"3778",2004,820,1
"3779",2005,820,1
"3780",2006,820,1
"3781",2007,820,1
"3782",2008,820,1
"3783",2009,820,1
"3784",2010,820,1
"3785",2011,820,1
"3786",2012,820,1
"3787",2013,820,1
"3788",2014,820,1
"3789",2015,820,1
"3790",2016,820,1
"3899",1959,812,1
"3900",1960,812,1
"3901",1961,812,1
"3902",1962,812,1
"3903",1963,812,1
"3904",1964,812,1
"3905",1965,812,1
"3906",1966,812,1
"3907",1967,812,1
"3908",1968,812,1
"3909",1969,812,1
"3910",1970,812,1
"3911",1971,812,1
"3912",1972,812,1
"3913",1973,812,1
"3914",1974,812,1
"3915",1975,812,1
"3916",1976,812,1
"3917",1977,812,1
"3918",1978,812,1
"3919",1979,812,1
"3920",1980,812,1
"3921",1981,812,1
"3922",1982,812,1
"3923",1983,812,1
"3924",1984,812,1
"3925",1985,812,1
"3926",1986,812,1
"3927",1987,812,1
"3928",1988,812,1
"3929",1989,812,1
"3930",1990,812,1
"3931",1991,812,1
"3932",1992,812,1
"3933",1993,812,1
"3934",1994,812,1
"3935",1995,812,1
"3936",1996,812,1
"3937",1997,812,1
"3938",1998,812,1
"3939",1999,812,1
"3940",2000,812,1
"3941",2001,812,1
"3942",2002,812,1
"3943",2003,812,1
"3944",2004,812,1
